0.962,2.925
0.784,2.33
0.992,3.0094
0.604,2.1534
0.066,1.9694
0.539,2.1432
0.792,2.5803
0.914,2.776
0.046,1.9817
0.878,2.6523
0.494,2.1535
0.919,2.7938
0.683,2.3968
0.941,2.8362
0.87,2.6214
0.34,2.0543
0.964,2.9259
0.21,2.0387
0.388,2.026
0.725,2.4112
0.709,2.3712
0.767,2.5387
0.466,2.0621
0.905,2.756
0.538,2.1802
0.681,2.3547
0.425,2.0959
0.452,2.1221
0.037,2.0537
0.162,2.034
0.429,2.0805
0.303,2.0896
0.056,1.9352
0.702,2.3491
0.692,2.3258
0.142,1.9987
0.011,1.9826
0.135,1.9529
0.242,2.0522
0.451,2.0294
0.399,2.0299
0.704,2.3326
0.921,2.8465
0.939,2.8667
0.621,2.2487
0.51,2.1104
0.36,1.9673
0.558,2.2496
0.917,2.8223
0.531,2.0554
0.028,2.0974
0.883,2.6662
0.412,2.0903
0.497,2.1122
0.502,2.1464
0.735,2.3489
0.206,2.0808
0.868,2.6214
0.546,2.1998
0.139,2.0394
0.944,2.8426
0.382,2.1117
0.701,2.344
0.28,2.0909
0.148,2.0505
0.272,2.0876
0.041,2.1081
0.296,2.0396
0.861,2.6651
0.106,1.9114
0.197,2.0375
0.449,2.127
0.715,2.4174
0.806,2.4501
0.74,2.4455
0.75,2.4199
0.745,2.4281
0.769,2.4447
0.094,1.9069
0.659,2.3475
0.977,3.004
0.91,2.7399
0.542,2.143
0.629,2.2276
0.097,1.9283
0.295,1.929
0.227,2.0959
0.855,2.6511
0.051,1.9891
0.426,1.9683
0.312,2.062
0.67,2.3997
0.719,2.313
0.731,2.4515
0.993,2.9285
0.218,2.0081
0.003,1.9837
0.578,2.2207
0.532,2.1253
0.404,2.0259
0.392,2.0268
0.562,2.2013
0.626,2.2515
0.166,2.02
0.271,2.0104
0.811,2.5182
0.131,1.9411
0.015,1.9914
0.812,2.586
0.367,1.9961
0.055,2.0182
0.034,2.0064
0.276,2.077
0.605,2.3066
0.804,2.4711
0.657,2.2969
0.766,2.4294
0.071,2.0232
0.698,2.3475
0.653,2.3048
0.758,2.4037
0.075,2.0402
0.661,2.4485
0.564,2.1592
0.096,1.9688
0.161,2.0439
0.484,2.1185
0.33,2.1111
0.778,2.4492
0.311,2.0061
0.46,2.1398
0.387,2.0287
0.076,2.0493
0.943,2.8541
0.932,2.7885
0.965,2.961
0.158,1.9384
0.936,2.8058
0.329,2.0091
0.903,2.778
0.049,2.0228
0.827,2.6392
0.43,1.9723
0.656,2.3339
0.084,1.9957
0.013,2.0162
0.951,2.7753
0.553,2.1466
0.495,2.1073
0.222,2.0519
0.744,2.3866
0.258,2.1038
0.687,2.2992
0.479,2.1093
0.389,2.0806
0.088,2.0913
0.181,2.0363
0.54,2.2129
0.506,2.2083
0.996,3.0128
0.195,1.9749
0.818,2.5032
0.743,2.3791
0.808,2.4852
0.89,2.67
0.493,2.1213
0.418,2.0701
0.737,2.3678
0.95,2.8215
0.99,3.1035
0.405,2.0623
0.061,1.9422
0.667,2.3536
0.266,1.9776
0.552,2.1355
0.043,2.0546
0.253,2.0627
0.336,2.0506
0.03,1.9723
0.231,2.032
0.958,2.791
0.902,2.7665
0.137,1.9291
0.79,2.4827
0.09,2.112
0.117,2.0093
0.891,2.8646
0.439,2.0511
0.077,1.9979
0.477,2.1572
0.708,2.2577
0.436,2.0142
0.364,2.0547
0.092,2.0117
0.73,2.3905
0.346,2.0286
0.398,2.089
0.802,2.5034
0.628,2.2444
0.437,2.1273
0.749,2.3757
0.318,1.9252
0.873,2.6467
0.798,2.4646
0.722,2.3629
0.689,2.3254
0.067,2.0246
0.179,2.025
0.233,2.0698
0.146,2.0058
0.575,2.2119
0.35,2.0186
0.265,2.0268
0.697,2.3449
0.913,2.9059
0.025,1.9673
0.912,2.7889
0.884,2.6034
0.259,2.0213
0.391,2.1784
0.487,2.0821
0.62,2.2099
0.115,1.9975
0.999,2.9826
0.173,2.049
0.16,2.05
0.646,2.1992
0.799,2.5408
0.654,2.1819
0.14,1.9473
0.286,2.01
0.787,2.5194
0.66,2.278
0.535,2.2073
0.69,2.3075
0.038,2.0235
0.525,2.1452
0.597,2.2779
0.953,2.9408
0.796,2.5185
0.647,2.3266
0.151,2.0541
0.814,2.5582
0.225,2.0337
0.087,1.9168
0.168,2.0553
0.001,2.0194
0.817,2.563
0.337,1.9992
0.25,2.0087
0.771,2.4967
0.963,2.847
0.571,2.1327
0.457,2.0786
0.269,2.0416
0.104,1.957
0.073,1.9651
0.468,2.1808
0.489,2.184
0.12,2.0762
0.335,2.0202
0.608,2.2174
0.664,2.2579
0.17,2.0324
0.485,2.0994
0.285,2.0135
0.561,2.2147
0.344,1.9595
0.079,1.9598
0.734,2.3666
0.127,1.966
0.785,2.56
0.305,1.9914
0.172,1.903
0.568,2.2598
0.325,2.0688
0.823,2.5898
0.119,1.9929
0.819,2.4995
0.501,2.1269
0.232,2.0726
0.085,1.9253
0.459,2.0743
0.967,2.9342
0.395,2.1296
0.916,2.7696
0.955,2.8619
0.13,2.0189
0.618,2.2115
0.122,2.0037
0.113,1.9731
0.84,2.5046
0.482,2.0719
0.751,2.4542
0.169,1.9536
0.32,2.0012
0.343,2.0008
0.633,2.2953
0.385,1.986
0.522,2.1229
0.897,2.7503
0.428,2.1224
0.584,2.2451
0.536,2.1473
0.521,2.0866
0.545,2.0759
0.397,2.0421
0.716,2.377
0.822,2.5954
0.369,2.081
0.549,2.1116
0.333,2.0552
0.366,2.0707
0.072,2.047
0.099,2.1251
0.893,2.688
0.866,2.5421
0.121,2.0325
0.777,2.443
0.617,2.2152
0.308,1.9339
0.978,2.8753
0.58,2.3105
0.352,2.0611
0.45,2.1473
0.52,2.184
0.831,2.5476
0.226,2.0304
0.59,2.0947
0.007,1.8724
0.968,2.8817
0.047,2.0556
0.409,2.1482
0.933,2.794
0.147,2.0618
0.662,2.3079
0.512,2.0497
0.77,2.5304
0.972,2.9057
0.24,2.0546
0.63,2.3188
0.483,2.1717
0.857,2.5797
0.898,2.7565
0.572,2.2214
0.18,1.9287
0.96,2.8667
0.928,2.7891
0.19,1.9472
0.342,2.1186
0.058,2.0166
0.537,2.1515
0.44,2.0438
0.134,1.965
0.236,2.017
0.543,2.1145
0.98,2.967
0.754,2.3181
0.877,2.7388
0.885,2.6815
0.86,2.6876
0.356,1.9644
0.707,2.3365
0.663,2.2899
0.676,2.2522
0.453,2.1568
0.198,1.9364
0.71,2.3691
0.103,2.1282
0.098,2.0046
0.849,2.5183
0.632,2.2498
0.145,1.926
0.713,2.3552
0.203,2.0066
0.275,2.0368
0.871,2.669
0.554,2.1024
0.204,2.0537
0.879,2.6054
0.586,2.1302
0.881,2.7057
0.427,2.1594
0.347,2.0355
0.852,2.6099
0.641,2.2724
0.764,2.5392
0.688,2.3697
0.609,2.2211
0.192,2.0205
0.301,2.0154
0.063,2.0361
0.069,2.0714
0.138,1.9183
